	IG flesh	MG flesh	Br flesh	Or Flesh	Rd flesh	IG peel	MG peel	Br peel	Or peel 	Rd peel		A_IG-FLESH	B_IG-FLESH	C_IG-FLESH	A_MG-FLESH	B_MG-FLESH	C_MG-FLESH	A_BR-FLESH	B_BR-FLESH	C_BR-FLESH	A_OR-FLESH	B_OR-FLESH	C_OR-FLESH	A_RED-FLESH	B_RED-FLESH	C_RED-FLESH	A_IG-PEEL	B_IG-PEEL	C_IG-PEEL	A_MG-PEEL	B_MG-PEEL	C_MG-PEEL	A_BR-PEEL	B_BR-PEEL	C_BR-PEEL	A_OR-PEEL	B_OR-PEEL	C_OR-PEEL	A_RED-PEEL	B_RED-PEEL	C_RED-PEEL	Average (all conditions)
Lactic_acid 	1	1	1	1	1	1	1	1	1	1		0,103433396	0,136431533	0,158933787	0,206876868	0,173201105	0,158327515	0,089614692	0,11277366	0,117141281	0,11941842	0,116122071	0,219713761	0,094073208	0,159235826	0,168387141	0,11402039	0,144409203	0,204191028	0,116198032	0,133567058	0,11709766	0,143577319	0,122235652	0,087344296	0,07036139	0,446812557	0,100886937	0,108268197	0,161884877	0,09981212	0,143478366
Alanine_	0	0	0	0	1	1	1	1	1	1		0,001368959	0,002371353	0,001748098	0,0021849	0,001545409	0,002238296	0,002289165	0,002324022	0,002714016	0,000415269	0,001462499	0,003203877	0,012919613	0,009264409	0,007313279	0,006052346	0,002391172	0,002051979	0,007315122	0,001803018	0,005399634	0,006536577	0,001297469	0,001850366	0,006925772	0,009130686	0,001633031	0,020361884	0,0356504	0,017657153	0,0059806591
EIQTMS_N12C_NID1_7.01	1	1	1	1	1	1	1	1	1	1		0,193930249	0,32902443	0,215522362	0,249657865	0,143900624	0,186188172	0,2974175	0,221860111	0,179164977	0,225637533	0,173354772	0,206230435	0,06272117	0,092068608	0,231027764	0,36758137	0,439627744	0,328000176	0,315373483	0,307196772	0,253600282	0,373634281	0,205174893	0,213042344	0,185300739	1,024431975	0,193259931	0,113561122	0,145714043	0,1422658	0,2538490509
chorismate/phenylpyruvate_	0	0	0	0	1	1	1	1	1	1		0,001610966	0,001642788	0,001500902	0,001850915	0,001840931	0,001308196	0,002675071	0,001335573	0,001281941	0,002365111	0,00168643	0,00077181	0,002380709	0,001934165	0,001774895	0,007291291	0,003671399	0,001274576	0,010086468	0,002360358	0,003381819	0,008266331	0,005809757	0,00399392	0,010146367	0,008159703	0,006383508	0,007165017	0,007288981	0,006281951	0,003917395
EIQTMS_N12C_SD1_1228.8_7.24	1	1	1	1	1	1	1	1	1	1		0,318089924	0,250936882	0,264223995	0,365739917	0,268148501	0,193859227	0,303313747	0,220124083	0,199701685	0,384008846	0,29113385	0,190284884	0,324324437	0,388642902	0,256017353	0,485159044	0,202094413	0,165396799	0,363915929	0,21682293	0,199083301	0,400274419	0,285634853	0,167197242	0,358417383	0,589912836	0,221784173	0,274818358	0,287854879	0,257583889	0,2898166894
2-aminobutyric_acid_	1	1	1	1	1	1	1	1	1	1		0,00071389	0,00013168	0,000605796	0,000355949	0,000226132	0,000668499	0,00077656	0,001011142	0,000680426	0,001348443	0,000111588	0,000648692	0,000416289	0,001189393	0,000714407	0,000604456	0,000534859	0,000183926	0,000534425	0,000592791	0,000516769	0,000317834	0,001049862	0,00089404	0,0006505	0,000609886	0,000896561	0,000592025	0,000679955	0,000549013	0,0006268596
L-Valine_	0	1	1	0	1	1	1	0	0	1		0,000775126	0,000836534	0,000855471	0,004091567	0,000191768	0,001071742	0,00078074	0,002033472	0,001341024	0,000739702	0,000266087	0,002147548	0,014699236	0,001659227	0,002669541	0,00420595	0,001248798	0,000521905	0,008462698	0,000581427	0,005999741	0,001399185	0,000647037	0,000551088	0,001014655	0,001010578	0,000332559	0,001526119	0,002410773	0,000523115	0,0021531471
Bensoic_acid_	1	1	1	1	1	1	1	1	1	1		0,160185176	0,135785989	0,08480579	0,100537425	0,099363615	0,083922761	0,0715696	0,095528407	0,076354978	0,150864756	0,08615754	0,077145565	0,0819785	0,126725909	0,097050537	0,311290794	0,128348556	0,112842707	0,141287806	0,162522811	0,091502531	0,10361011	0,098346388	0,123320179	0,188159715	0,258152942	0,072857498	0,084628237	0,15751021	0,080417273	0,1214258102
L-Serine	0	1	1	1	1	0	1	1	0	1		0,099552141	0,140862097	0,05521785	0,505299416	0,069768587	0,35665193	0,865499377	0,688179203	0,296308559	0,586625673	0,091784019	0,481891123	0,593867032	0,552879771	0,44043521	0,162783393	0,123440432	0,061835775	0,660489374	0,078751326	0,609262132	0,663615525	0,835092621	0,392169458	0,157435913	0,053122375	0,117619593	0,206491278	0,252911656	0,160511492	0,3453451444
PHOSPHORIC_ACID_	0	1	0	1	1	1	1	1	1	1		2,359406347	4,492657738	2,429086311	4,412036504	5,313254852	3,844591912	2,809665575	5,031297044	3,968045209	5,031797797	4,032868172	4,373020177	7,359097879	12,05438595	8,232933788	3,421447526	6,952760707	5,359708519	16,19790659	10,92028085	13,83060459	15,88659012	6,809737532	20,39510044	17,89816743	12,07803061	14,55145909	7,663852359	5,485136395	8,070814856	8,042191429
Glycerol_	0	1	1	1	1	1	1	1	1	1		0,046273395	0,078242899	0,045969664	0,067691396	0,07475928	0,068368861	0,052964785	0,072322603	0,060765068	0,08048047	0,06052312	0,074365736	0,112530858	0,171811817	0,119976564	0,077939213	0,096909089	0,094902319	0,211357293	0,143768994	0,198119492	0,218039189	0,110875535	0,265545989	0,234367225	0,179605872	0,189943426	0,13186943	0,110741237	0,121894971	0,1190975263
leucine_	1	1	1	1	1	1	1	1	1	0		0,000726857	0,002676709	0,001230067	0,00189481	0,000717605	0,003215615	0,003016013	0,00235934	0,001950114	0,001247682	0,000557169	0,001615812	0,002673902	0,003634792	0,001629793	0,00109121	0,001462398	0,001076935	0,002374933	0,001718728	0,001602384	0,003298268	0,00257176	0,002127569	0,002243664	0,001246165	0,002325184	0,000775689	0,001088856	0,000543123	0,0018231049
isoleucine_	1	1	1	1	1	1	1	1	0	1		0,002721381	0,014290532	0,006185536	0,009985821	0,002761867	0,006741668	0,009959502	0,009720038	0,004895816	0,005770026	0,000817821	0,006517077	0,019516823	0,017257617	0,008828937	0,003940416	0,009342069	0,003558145	0,009347689	0,00273921	0,007308229	0,006270046	0,006973057	0,003823995	0,002782175	0,002001976	0,001602569	0,005482737	0,004948567	0,005243367	0,006711157
l-Threonine	1	1	1	1	1	1	1	1	0	1		0,063218972	0,253525185	0,056565464	0,152304428	0,03555808	0,104449593	0,256573817	0,140806087	0,067387844	0,153111187	0,03283981	0,088028446	0,165412838	0,174270976	0,202567048	0,073881704	0,251518023	0,049923571	0,193183078	0,034961669	0,131253134	0,104148014	0,195989813	0,060206394	0,047500674	0,024161833	0,028839853	0,086725069	0,127473916	0,074915389	0,1143767303
